spotify_name,manual_status,manual_decision,manual_source_url,manual_notes
Arctic Monkeys,confirmed,Sheffield,https://en.wikipedia.org/wiki/Arctic_Monkeys,"High Green is a Sheffield suburb; the labels are compatible."
One Direction,confirmed,London,https://en.wikipedia.org/wiki/One_Direction,"Wembley is within London; the labels are compatible."
Gorillaz,confirmed,London,https://en.wikipedia.org/wiki/Gorillaz,"The project was created in London; Essex reflects a broader member association."
Dire Straits,confirmed,Deptford,https://en.wikipedia.org/wiki/Dire_Straits,"Deptford is the specific London formation place."
The Outfield,corrected,London,https://theoutfield.com/bio,"The band's official biography describes it as London-based and rooted in London's East End; Manchester is unsupported."
Pet Shop Boys,confirmed,London,https://en.wikipedia.org/wiki/Pet_Shop_Boys,"Chelsea is within London; the labels are compatible."
The Hollies,confirmed,Manchester,https://en.wikipedia.org/wiki/The_Hollies,"Manchester was historically in Lancashire; the labels are compatible."
Bronski Beat,confirmed,London,https://en.wikipedia.org/wiki/Bronski_Beat,"Brixton is within London; the labels are compatible."
Seafret,confirmed,Bridlington,https://en.wikipedia.org/wiki/Seafret,"Bridlington is within the East Riding of Yorkshire; the labels are compatible."
Jamiroquai,confirmed,London,https://en.wikipedia.org/wiki/Jamiroquai,"Ealing is within London; the labels are compatible."
Iron Maiden,confirmed,Leyton,https://en.wikipedia.org/wiki/Iron_Maiden,"Leyton is the specific London formation place."
Deep Purple,confirmed,Hertford,https://www.universalmusic.fr/artistes/20000084057,"Universal identifies Hertford; the Wikipedia London label is broader and disputed."
La Roux,confirmed,London,https://en.wikipedia.org/wiki/La_Roux,"Brixton is within London; the labels are compatible."
Whitesnake,confirmed,Middlesbrough,https://www.britishmuseum.org/collection/term/BIOG217735,"The British Museum identifies Middlesbrough; the Wikipedia London label is unsupported for formation."
The xx,confirmed,London,https://en.wikipedia.org/wiki/The_xx,"Wandsworth is within London; the labels are compatible."
Hot Chocolate,confirmed,West Hampstead,https://en.wikipedia.org/wiki/Hot_Chocolate_(band),"West Hampstead is the specific London formation place; MusicBrainz's Brixton label conflicts."
Chumbawamba,contested,Burnley,https://www.allmusic.com/artist/chumbawamba-mn0000781370,"AllMusic and Wikipedia support Burnley, while other accounts associate the group's formation with its early Leeds squat; retain Burnley with a contest flag."
Underworld,corrected,Cardiff,https://www.allmusic.com/artist/underworld-mn0000807949,"The group began in Cardiff; Romford was a later base and relaunch location."
Madness,confirmed,London,https://en.wikipedia.org/wiki/Madness_(band),"Camden Town is within London; the labels are compatible."
The Sundays,confirmed,London,https://www.encyclopedia.com/education/news-wires-white-papers-and-books/sundays,"The core members met in Bristol, but the band formed and began performing in London."
Bloc Party,confirmed,London,https://en.wikipedia.org/wiki/Bloc_Party,"Wikipedia supports London; Reading is a member-meeting association rather than the settled formation label."
Basement Jaxx,confirmed,London,https://en.wikipedia.org/wiki/Basement_Jaxx,"Brixton is within London; the labels are compatible."
Asking Alexandria,contested,York,https://en.wikipedia.org/wiki/Asking_Alexandria,"The name began with Ben Bruce's Dubai project and was reused for the enduring York-based lineup; retain York with a contest flag."
Sigma,corrected,Leeds,https://en.wikipedia.org/wiki/Sigma_(DJs),"University of Leeds is an institution, not a place label; the duo formed while studying in Leeds."
The Cult,confirmed,Bradford,https://en.wikipedia.org/wiki/The_Cult,"Wikipedia supports Bradford; MusicBrainz's London label reflects the later base."
Rainbow,confirmed,Hertford,https://en.wikipedia.org/wiki/Rainbow_(rock_band),"Wikipedia supports Hertford; MusicBrainz's California label is not the formation place."
Eurythmics,corrected,London,https://rockhall.com/wp-content/uploads/2024/03/Eurythmics_RNRHF_Final_2022-LR.pdf,"The duo formed in London; Sunderland is Dave Stewart's earlier home scene."
The Alan Parsons Project,corrected,London,https://www.the-alan-parsons-project.com/timeline,"Parsons and Woolfson met at Abbey Road and created the project in London."
Supergrass,corrected,Oxford,https://www.officialcharts.com/artist/9825/supergrass/,"Official Charts identifies Oxford; Wheatley is associated with the precursor band and members."
Bad Company,confirmed,Westminster,https://www.allmusic.com/artist/bad-company-mn0000075100,"Westminster is the more specific formation place within London."
The Irrepressibles,confirmed,London,https://www.theguardian.com/music/2010/nov/07/irrepressibles,"The first incarnation formed among Westminster University students; Scarborough is Jamie McDermott's hometown."
BICEP,resolved,Belfast,https://bicepmusic.com/about,"The band's official biography describes the duo as Belfast-born and rooted in Belfast's club scene before becoming London-based."
Royal Blood,corrected,Worthing,https://uk.investing.com/news/general/britains-royal-blood-finds-spiritual-home-in-us-3139043,"Reuters reports that the duo began in Worthing; Brighton was the later development base."
The Waterboys,resolved,London,https://www.universalmusic.fr/artistes/20000160599,"Mike Scott is from Edinburgh, but the band was formed in London."
Londonbeat,corrected,London,https://en.wikipedia.org/wiki/Londonbeat,"Both external origin sources identify London."
Editors,resolved,Stafford,https://www.surgemusic.com/bands/band_1021/details_Editors,"The members founded the band while at university in Stafford and relocated to Birmingham after graduation."
South Arcade,resolved,Guildford,https://www.musicradar.com/artists/i-had-to-say-no-guys-i-swear-were-a-real-band-south-arcade-on-how-they-became-the-figureheads-of-a-growing-y2k-revival,"The band formed at university in Guildford and later became Oxford-based."
"Emerson, Lake & Palmer",resolved,London,"https://en.wikipedia.org/wiki/Emerson,_Lake_%26_Palmer","The trio formed in London; Bournemouth is an unsupported MusicBrainz begin-area."
Floetry,corrected,London,https://en.wikipedia.org/wiki/Floetry,"The duo formed in London; Liverpool is not supported as the group formation place."
IAMX,resolved,London,https://en.wikipedia.org/wiki/IAMX,"Chris Corner founded the project in London after Sneaker Pimps."
The Style Council,corrected,Woking,https://en.wikipedia.org/wiki/The_Style_Council,"Both external origin sources identify Woking."
The Shadows,resolved,Cheshunt,https://www.allmusic.com/artist/the-shadows-mn0000496405,"The group's roots and first performances as the Drifters were in Cheshunt; London was the professional breakout location."
Runrig,resolved,Isle of Skye,https://en.wikipedia.org/wiki/Runrig,"MusicBrainz 'Skye' and Wikipedia 'Isle of Skye' are the same place."
The Beta Band,corrected,St Andrews,https://en.wikipedia.org/wiki/The_Beta_Band,"Both external origin sources identify St Andrews."
World News,corrected,London,https://en.wikipedia.org/wiki/World_News_(band),"The available external origin identifies London, not Brighton."
Reef,confirmed,Glastonbury,https://en.wikipedia.org/wiki/Reef_(band),"Glastonbury is consistent with the broader external descriptions Somerset and South West England."
Danny Wilson,corrected,Dundee,https://en.wikipedia.org/wiki/Danny_Wilson_(band),"Both external origin sources identify Dundee."
The Tremeloes,corrected,Dagenham,https://en.wikipedia.org/wiki/The_Tremeloes,"Dagenham is the specific formation place; it was historically in Essex when the band formed."
Napalm Death,corrected,Meriden,https://en.wikipedia.org/wiki/Napalm_Death,"Both external origin sources identify Meriden; Birmingham is the broader scene association."
Tom Robinson Band,resolved,London,https://tomrobinson.com/bio/full-history/,"Robinson was born in Cambridge but formed TRB after beginning his music career in London."
The Boo Radleys,corrected,Wallasey,https://en.wikipedia.org/wiki/The_Boo_Radleys,"Both external origin sources identify Wallasey."
Felt,corrected,Water Orton,https://www.loudandquiet.com/interview/the-story-of-felt-lawrence-recalls-their-trip-into-indie-folklore-and-draws-a-line-under-the-80s-definitive-cult-band/,"Lawrence and Maurice Deebank formed the group from Water Orton; Birmingham is the nearby major city."
Magnetic Man,confirmed,London,https://musicbrainz.org/artist/303db7ad-ae81-4225-a0f0-088aa085c155,"Croydon is within Greater London, so the current London claim is not contradictory."
Clinic,corrected,Crosby,https://en.wikipedia.org/wiki/Clinic_(band),"Both external origin sources identify Crosby, Merseyside."
Oceanic,resolved,Wallasey,https://en.wikipedia.org/wiki/Oceanic_(band),"Wallasey is on the Wirral; the two external labels are compatible, with Wallasey more specific."
Another Sunny Day,resolved,Plymouth,https://en.wikipedia.org/wiki/Another_Sunny_Day,"Harvey Williams was born in Newlyn but started the project while studying in Plymouth; London was a later association."
The Unthanks,resolved,Tyne and Wear,https://en.wikipedia.org/wiki/The_Unthanks,"Wikipedia places the group in Tyne and Wear; MusicBrainz's Newcastle upon Tyne label is geographically compatible."
